NUTS 3 CODE,LAU CODE,LAU NAME NATIONAL,LAU NAME LATIN,CHANGE (Y/N),POPULATION,TOTAL AREA (km2),DEGURBA,DEG change compared to last year,COASTAL AREA (yes/no),COAST change compared to last year,CITY_ID,CITY_ID change compared to last year,CITY_NAME,GREATER_CITY_ID,GREATER_CITY_ID change compared to last year,GREATER_CITY_NAME,FUA_ID,FUA_ID change compared to last year,FUA_NAME
DEF01,01001000,"Flensburg, Stadt","Flensburg, Stadt",no,,,,,,,,,,,,,,,
DEF02,01002000,"Kiel, Landeshauptstadt","Kiel, Landeshauptstadt",no,,,,,,,,,,,,,,,
DEF03,01003000,"Lübeck, Hansestadt","Lübeck, Hansestadt",no,,,,,,,,,,,,,,,
DEF04,01004000,"Neumünster, Stadt","Neumünster, Stadt",no,,,,,,,,,,,,,,,
DEF05,01051001,Albersdorf,Albersdorf,no,,,,,,,,,,,,,,,
DEF05,01051002,Arkebek,Arkebek,no,,,,,,,,,,,,,,,
DEF05,01051003,Averlak,Averlak,no,,,,,,,,,,,,,,,
DEF05,01051004,Bargenstedt,Bargenstedt,no,,,,,,,,,,,,,,,
DEF05,01051005,Barkenholm,Barkenholm,no,,,,,,,,,,,,,,,
DEF05,01051006,Barlt,Barlt,no,,,,,,,,,,,,,,,
DEF05,01051008,Bergewöhrden,Bergewöhrden,no,,,,,,,,,,,,,,,
DEF05,01051010,Brickeln,Brickeln,no,,,,,,,,,,,,,,,
DEF05,01051011,"Brunsbüttel, Stadt","Brunsbüttel, Stadt",no,,,,,,,,,,,,,,,
DEF05,01051012,Buchholz,Buchholz,no,,,,,,,,,,,,,,,
DEF05,01051013,Büsum,Büsum,no,,,,,,,,,,,,,,,
DEF05,01051014,Büsumer Deichhausen,Büsumer Deichhausen,no,,,,,,,,,,,,,,,
DEF05,01051015,Bunsoh,Bunsoh,no,,,,,,,,,,,,,,,
DEF05,01051016,Burg (Dithmarschen),Burg (Dithmarschen),no,,,,,,,,,,,,,,,
DEF05,01051017,Busenwurth,Busenwurth,no,,,,,,,,,,,,,,,
DEF05,01051019,Dellstedt,Dellstedt,no,,,,,,,,,,,,,,,
DEF05,01051020,Delve,Delve,no,,,,,,,,,,,,,,,
DEF05,01051021,Diekhusen-Fahrstedt,Diekhusen-Fahrstedt,no,,,,,,,,,,,,,,,
DEF05,01051022,Dingen,Dingen,no,,,,,,,,,,,,,,,
DEF05,01051023,Dörpling,Dörpling,no,,,,,,,,,,,,,,,
DEF05,01051024,Eddelak,Eddelak,no,,,,,,,,,,,,,,,
DEF05,01051026,Eggstedt,Eggstedt,no,,,,,,,,,,,,,,,
DEF05,01051027,Elpersbüttel,Elpersbüttel,no,,,,,,,,,,,,,,,
DEF05,01051028,Epenwöhrden,Epenwöhrden,no,,,,,,,,,,,,,,,
DEF05,01051030,Fedderingen,Fedderingen,no,,,,,,,,,,,,,,,
DEF05,01051032,Frestedt,Frestedt,no,,,,,,,,,,,,,,,
DEF05,01051033,Friedrichsgabekoog,Friedrichsgabekoog,no,,,,,,,,,,,,,,,
DEF05,01051034,Friedrichskoog,Friedrichskoog,no,,,,,,,,,,,,,,,
DEF05,01051035,Gaushorn,Gaushorn,no,,,,,,,,,,,,,,,
DEF05,01051036,Glüsing,Glüsing,no,,,,,,,,,,,,,,,
DEF05,01051037,Großenrade,Großenrade,no,,,,,,,,,,,,,,,
DEF05,01051038,Groven,Groven,no,,,,,,,,,,,,,,,
DEF05,01051039,Gudendorf,Gudendorf,no,,,,,,,,,,,,,,,
DEF05,01051043,Hedwigenkoog,Hedwigenkoog,no,,,,,,,,,,,,,,,
DEF05,01051044,"Heide, Stadt","Heide, Stadt",no,,,,,,,,,,,,,,,
DEF05,01051045,Hellschen-Heringsand-Unterschaar,Hellschen-Heringsand-Unterschaar,no,,,,,,,,,,,,,,,
DEF05,01051046,Helse,Helse,no,,,,,,,,,,,,,,,
DEF05,01051047,Hemme,Hemme,no,,,,,,,,,,,,,,,
DEF05,01051048,Hemmingstedt,Hemmingstedt,no,,,,,,,,,,,,,,,
DEF05,01051049,Hennstedt,Hennstedt,no,,,,,,,,,,,,,,,
DEF05,01051050,Hillgroven,Hillgroven,no,,,,,,,,,,,,,,,
DEF05,01051051,Hochdonn,Hochdonn,no,,,,,,,,,,,,,,,
DEF05,01051052,Hövede,Hövede,no,,,,,,,,,,,,,,,
DEF05,01051053,Hollingstedt,Hollingstedt,no,,,,,,,,,,,,,,,
DEF05,01051054,Immenstedt,Immenstedt,no,,,,,,,,,,,,,,,
DEF05,01051057,Kaiser-Wilhelm-Koog,Kaiser-Wilhelm-Koog,no,,,,,,,,,,,,,,,
DEF05,01051058,Karolinenkoog,Karolinenkoog,no,,,,,,,,,,,,,,,
DEF05,01051060,Kleve,Kleve,no,,,,,,,,,,,,,,,
DEF05,01051061,Krempel,Krempel,no,,,,,,,,,,,,,,,
DEF05,01051062,Kronprinzenkoog,Kronprinzenkoog,no,,,,,,,,,,,,,,,
DEF05,01051063,Krumstedt,Krumstedt,no,,,,,,,,,,,,,,,
DEF05,01051064,Kuden,Kuden,no,,,,,,,,,,,,,,,
DEF05,01051065,Lehe,Lehe,no,,,,,,,,,,,,,,,
DEF05,01051067,Lieth,Lieth,no,,,,,,,,,,,,,,,
DEF05,01051068,Linden,Linden,no,,,,,,,,,,,,,,,
DEF05,01051069,Lohe-Rickelshof,Lohe-Rickelshof,no,,,,,,,,,,,,,,,
DEF05,01051071,Lunden,Lunden,no,,,,,,,,,,,,,,,
DEF05,01051072,"Marne, Stadt","Marne, Stadt",no,,,,,,,,,,,,,,,
DEF05,01051073,Marnerdeich,Marnerdeich,no,,,,,,,,,,,,,,,
DEF05,01051074,"Meldorf, Stadt","Meldorf, Stadt",no,,,,,,,,,,,,,,,
DEF05,01051075,Neuenkirchen,Neuenkirchen,no,,,,,,,,,,,,,,,
DEF05,01051076,Neufeld,Neufeld,no,,,,,,,,,,,,,,,
DEF05,01051077,Neufelderkoog,Neufelderkoog,no,,,,,,,,,,,,,,,
DEF05,01051078,Nindorf,Nindorf,no,,,,,,,,,,,,,,,
DEF05,01051079,Norddeich,Norddeich,no,,,,,,,,,,,,,,,
DEF05,01051080,Norderheistedt,Norderheistedt,no,,,,,,,,,,,,,,,
DEF05,01051081,Norderwöhrden,Norderwöhrden,no,,,,,,,,,,,,,,,
DEF05,01051082,Nordhastedt,Nordhastedt,no,,,,,,,,,,,,,,,
DEF05,01051083,Odderade,Odderade,no,,,,,,,,,,,,,,,
DEF05,01051084,Oesterdeichstrich,Oesterdeichstrich,no,,,,,,,,,,,,,,,
DEF05,01051085,Offenbüttel,Offenbüttel,no,,,,,,,,,,,,,,,
DEF05,01051086,Osterrade,Osterrade,no,,,,,,,,,,,,,,,
DEF05,01051087,Ostrohe,Ostrohe,no,,,,,,,,,,,,,,,
DEF05,01051088,Pahlen,Pahlen,no,,,,,,,,,,,,,,,
DEF05,01051089,Quickborn,Quickborn,no,,,,,,,,,,,,,,,
DEF05,01051090,Ramhusen,Ramhusen,no,,,,,,,,,,,,,,,
DEF05,01051092,Rehm-Flehde-Bargen,Rehm-Flehde-Bargen,no,,,,,,,,,,,,,,,
DEF05,01051093,Reinsbüttel,Reinsbüttel,no,,,,,,,,,,,,,,,
DEF05,01051096,Sankt Annen,Sankt Annen,no,,,,,,,,,,,,,,,
DEF05,01051097,Sankt Michaelisdonn,Sankt Michaelisdonn,no,,,,,,,,,,,,,,,
DEF05,01051098,Sarzbüttel,Sarzbüttel,no,,,,,,,,,,,,,,,
DEF05,01051099,Schafstedt,Schafstedt,no,,,,,,,,,,,,,,,
DEF05,01051100,Schalkholz,Schalkholz,no,,,,,,,,,,,,,,,
DEF05,01051102,Schlichting,Schlichting,no,,,,,,,,,,,,,,,
DEF05,01051103,Schmedeswurth,Schmedeswurth,no,,,,,,,,,,,,,,,
DEF05,01051104,Schrum,Schrum,no,,,,,,,,,,,,,,,
DEF05,01051105,Schülp,Schülp,no,,,,,,,,,,,,,,,
DEF05,01051107,Stelle-Wittenwurth,Stelle-Wittenwurth,no,,,,,,,,,,,,,,,
DEF05,01051108,Strübbel,Strübbel,no,,,,,,,,,,,,,,,
DEF05,01051109,Süderdeich,Süderdeich,no,,,,,,,,,,,,,,,
DEF05,01051110,Süderhastedt,Süderhastedt,no,,,,,,,,,,,,,,,
DEF05,01051113,Wöhrden,Wöhrden,no,,,,,,,,,,,,,,,
DEF05,01051114,Tellingstedt,Tellingstedt,no,,,,,,,,,,,,,,,
DEF05,01051117,Tielenhemme,Tielenhemme,no,,,,,,,,,,,,,,,
DEF05,01051118,Trennewurth,Trennewurth,no,,,,,,,,,,,,,,,
DEF05,01051119,Volsemenhusen,Volsemenhusen,no,,,,,,,,,,,,,,,
DEF05,01051120,Wallen,Wallen,no,,,,,,,,,,,,,,,
DEF05,01051121,Warwerort,Warwerort,no,,,,,,,,,,,,,,,
DEF05,01051122,Weddingstedt,Weddingstedt,no,,,,,,,,,,,,,,,
DEF05,01051125,Welmbüttel,Welmbüttel,no,,,,,,,,,,,,,,,
DEF05,01051126,Wennbüttel,Wennbüttel,no,,,,,,,,,,,,,,,
DEF05,01051127,"Wesselburen, Stadt","Wesselburen, Stadt",no,,,,,,,,,,,,,,,
DEF05,01051128,Wesselburener Deichhausen,Wesselburener Deichhausen,no,,,,,,,,,,,,,,,
DEF05,01051129,Wesselburenerkoog,Wesselburenerkoog,no,,,,,,,,,,,,,,,
DEF05,01051130,Wesseln,Wesseln,no,,,,,,,,,,,,,,,
DEF05,01051131,Westerborstel,Westerborstel,no,,,,,,,,,,,,,,,
DEF05,01051132,Westerdeichstrich,Westerdeichstrich,no,,,,,,,,,,,,,,,
DEF05,01051133,Wiemerstedt,Wiemerstedt,no,,,,,,,,,,,,,,,
DEF05,01051134,Windbergen,Windbergen,no,,,,,,,,,,,,,,,
DEF05,01051135,Wolmersdorf,Wolmersdorf,no,,,,,,,,,,,,,,,
DEF05,01051136,Wrohm,Wrohm,no,,,,,,,,,,,,,,,
DEF05,01051137,Nordermeldorf,Nordermeldorf,no,,,,,,,,,,,,,,,
DEF05,01051138,Tensbüttel-Röst,Tensbüttel-Röst,no,,,,,,,,,,,,,,,
DEF05,01051139,Süderdorf,Süderdorf,no,,,,,,,,,,,,,,,
DEF05,01051140,Oesterwurth,Oesterwurth,no,,,,,,,,,,,,,,,
DEF05,01051141,Süderheistedt,Süderheistedt,no,,,,,,,,,,,,,,,
DEF06,01053001,Albsfelde,Albsfelde,no,,,,,,,,,,,,,,,
DEF06,01053002,Alt Mölln,Alt Mölln,no,,,,,,,,,,,,,,,
DEF06,01053003,Aumühle,Aumühle,no,,,,,,,,,,,,,,,
